isin_prefix,company_name,nsdl_issuer,match_method,score
INE0ATQ,ADAMA INDIA PRIVATE LIMITED,ADAMA INDIA PVT LTD,exact,100.0
INE0AUQ,Fourvolt Solar Private Limited,FOURVOLT SOLAR PRIVATE LIMITED,exact,100.0
INE0AUZ,Sungaze Power Private Limited,SUNGAZE POWER PRIVATE LIMITED,exact,100.0
INE0AV8,Wattvolt Energy Private Limited,WATTVOLT ENERGY PRIVATE LIMITED,exact,100.0
INE0AYR,THINK GAS BEGUSARAI PRIVATE LIMITED,THINK GAS BEGUSARAI PRIVATE LIMITED,exact,100.0
INE0AZ9,Advanced Performance Materials Private Limited,ADVANCED PERFORMANCE MATERIALS PRIVATE LIMITED,exact,100.0
INE0B0F,Think Gas Ludhiana Private Limited,THINK GAS LUDHIANA PRIVATE LIMITED,exact,100.0
INE0B2V,Isprout Business Centre Private Limited,ISPROUT BUSINESS CENTRE PRIVATE LIMITED,exact,100.0
INE0B3K,Casa Grande Grace Private Limited,CASA GRANDE GRACE PRIVATE LIMITED,exact,100.0
INE0B42,Moon Beverages Limited,MOON BEVERAGES LIMITED,exact,100.0
INE0B4P,Loantap Credit Products Private Limited,LOANTAP CREDIT PRODUCTS PRIVATE LIMITED,exact,100.0
INE0B7T,JRK Solar Projects Private Limited,JRK SOLAR PROJECTS PRIVATE LIMITED,exact,100.0
INE0BBO,Shri Kannan Departmental Store Private Limited,SHRI KANNAN DEPARTMENTAL STORE LIMITED,exact,100.0
INE0BBX,VR Konkan Private LImited,VR KONKAN PRIVATE LIMITED,exact,100.0
INE0BC5,Malur Logistics and Industrial Parks Private Limited,MALUR LOGISTICS AND INDUSTRIAL PARKS PRIVATE LIMITED,exact,100.0
INE0BC8,GALFAR ENGINEERING AND CONTRACTING (INDIA) PRIVATE LIMITED,GALFAR ENGINEERING & CONTRACTING (INDIA) PRIVATE LIMITED,exact,100.0
INE0BJ3,Bikaner-Khetri Transmission Limited,BIKANER-KHETRI TRANSMISSION LIMITED,exact,100.0
INE0BJR,WRSS XXI (A) Transco Limited,WRSS XXI (A) TRANSCO LIMITED,exact,100.0
INE0BL9,VVDN Technologies Private Limited,VVDN TECHNOLOGIES PVT LTD,exact,100.0
INE0BMF,EMBASSY COMMERCIAL PROJECTS (WHITEFIELD) PRIVATE LIMITED,EMBASSY COMMERCIAL PROJECTS (WHITEFIELD) PRIVATE LIMITED,exact,100.0
INE0BOG,Brightstar Infrastructure Private Limited,BRIGHTSTAR INFRASTRUCTURE PVT LTD,exact,100.0
INE0BS7,Premier Energies Limited,PREMIER ENERGIES LIMITED,exact,100.0
INE0BSV,UC Inclusive Credit Pvt Ltd,UC INCLUSIVE CREDIT PRIVATE LIMITED,exact,100.0
INE0BUS,Indel Money Limited,INDEL MONEY  LIMITED,exact,100.0
INE0BVB,Lakadia Vadodara Transmission Project Limited,LAKADIA-VADODARA TRANSMISSION PROJECT LIMITED,exact,100.0
INE0BXI,Vivriti Funds Private Limited,VIVRITI FUNDS PRIVATE LIMITED,exact,100.0
INE0C1P,Vikhroli Business City Private Limited,VIKHROLI BUSINESS CITY PRIVATE LIMITED,exact,100.0
INE0C2U,GV Techparks Private Limited,GV TECHPARKS PRIVATE LIMITED,exact,100.0
INE0C52,Lakadia Banaskantha Transco Limited,LAKADIA BANASKANTHA TRANSCO LIMITED,exact,100.0
INE0C5F,Pinnacle Industries Ltd,PINNACLE INDUSTRIES LIMITED,exact,100.0
INE0CCU,Mindspace Business Parks REIT,MINDSPACE BUSINESS PARKS REIT,exact,100.0
INE0CEK,Casagrand Premier Builder Limited,CASAGRAND PREMIER BUILDER LIMITED,exact,100.0
INE0CHN,Kandi Ramsanpalle Road Private Limited,KANDI RAMSANPALLE ROAD PRIVATE LIMITED,exact,100.0
INE0CKC,RBSG Capital Private Limited,RBSG CAPITAL PRIVATE LIMITED,exact,100.0
INE0CSH,Adani Green Energy Twenty Three Limited,ADANI GREEN ENERGY TWENTY THREE LIMITED,exact,100.0
INE0CST,Avaada Sustainable Rjproject Private Limited,AVAADA SUSTAINABLE RJPROJECT PRIVATE LIMITED,exact,100.0
INE0CTD,SHIVALAYA CONSTRUCTION LIMITED (Formerly Shivalaya Construction Private Limited),SHIVALAYA CONSTRUCTION LIMITED,exact,100.0
INE0CUM,Embassy Construction Private Limited,EMBASSY CONSTRUCTION PVT LTD,exact,100.0
INE0CYK,Purple Finance Limited,PURPLE FINANCE LIMITED,exact,100.0
INE0CZ0,Good Host Spaces (Sonipat) Private Limited,GOOD HOST SPACES (SONIPAT) PRIVATE LIMITED,exact,100.0
INE0D5J,AVAADA SUNCE ENERGY PRIVATE LIMITED,AVAADA SUNCE ENERGY PRIVATE LIMITED,exact,100.0
INE0D8F,OPG Power Generation Private Limited,OPG POWER GENERATION PRIVATE LIMITED,exact,100.0
INE0D9T,Maharashtra RESCO ROOFTOP Solar Pvt Ltd,MAHARASHTRA RESCO ROOFTOP SOLAR PRIVATE LIMITED,exact,100.0
INE0DA8,Shreas Industries Limited,SHREAS INDUSTRIES LTD,exact,100.0
INE0DBJ,Mizuho Capsave Finance Private Limited,MIZUHO CAPSAVE FINANCE PRIVATE LIMITED,exact,100.0
INE0DBK,Amplus Poorva Private Limited,AMPLUS POORVA PRIVATE LIMITED,exact,100.0
INE0DEY,AMPSolar Energy Private Limited,AMPSOLAR ENERGY PRIVATE LIMITED,exact,100.0
INE0DFO,Lanco Solar (Gujarat) Private Limited,LANCO SOLAR (GUJARAT) PRIVATE LIMITED,exact,100.0
INE0DFS,Ayana Ananthapuramu Solar Private Limited,AYANA ANANTHAPURAMU SOLAR PRIVATE LIMITED,exact,100.0
INE0DG9,Rupeek Capital Private Limited,RUPEEK CAPITAL PRIVATE LIMITED,exact,100.0
INE0DLZ,Adani Hybrid Energy Jaisalmer Four Limited,ADANI HYBRID ENERGY JAISALMER FOUR LIMITED,exact,100.0
INE0DO9,Adani Hybrid Energy Jaisalmer One Limited,ADANI HYBRID ENERGY JAISALMER ONE LIMITED,exact,100.0
INE0DWX,GRAND HILLS DEVELOPMENTS PRIVATE LIMITED,GRAND HILLS DEVELOPMENTS PRIVATE LIMITED,exact,100.0
INE0E1G,SHERISHA ROOFTOP SOLAR SPV FOUR PRIVATE LIMITED,SHERISHA ROOFTOP SOLAR SPV FOUR PRIVATE LIMITED,exact,100.0
INE0E23,Aviom India Housing Finance Private Limited,AVIOM INDIA HOUSING FINANCE PRIVATE LIMITED,exact,100.0
INE0E2B,Mansukh Securities and Finance Limited,MANSUKH SECURITIES AND FINANCE LIMITED,exact,100.0
INE0EIC,Napino Auto and Electronics Limited,NAPINO AUTO AND ELECTRONICS LIMITED,exact,100.0
INE0EID,Electro Solaire Private Limited,ELECTRO SOLAIRE PRIVATE LIMITED,exact,100.0
INE0EKP,Amplus Venus Private Limited,AMPLUS VENUS PRIVATE LIMITED,exact,100.0
INE0ER7,Nay Energy Private Limited,NAY ENERGY PRIVATE LIMITED,exact,100.0
INE0ERF,Amplus Dakshin Private Limited,AMPLUS DAKSHIN PRIVATE LIMITED,exact,100.0
INE0ERH,Sunroot Energy Private Limited,SUNROOT ENERGY PRIVATE LIMITED,exact,100.0
INE0EYP,Arpit Projects Limited,ARPIT PROJECTS LIMITED,exact,100.0
INE0F3T,PMI Electro Mobility Solutions Private Limited,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,exact,100.0
INE0F45,Avaada Sunrays Energy Private Limited,AVAADA SUNRAYS ENERGY PRIVATE LIMITED,exact,100.0
INE0F4J,Avaada Rjhn Private Limited,AVAADA RJHN PRIVATE LIMITED,exact,100.0
INE0F6K,Mumbai Urja Marg Limited,MUMBAI URJA MARG LIMITED,exact,100.0
INE0FAV,Tirthankar City Bus Operations Private Limited,TIRTHANKAR CITY BUS OPERATIONS PRIVATE LIMITED,exact,100.0
INE0FB7,Vaasudevo City Bus Operations Private Limited,VAASUDEVO CITY BUS OPERATIONS PRIVATE LIMITED,exact,100.0
INE0FDU,Brookfield India Real Estate Trust,BROOKFIELD INDIA REAL ESTATE TRUST,exact,100.0
INE0FEX,Dhanalakshmi Hire Purchase and Leasing Limited,DHANALAKSHMI HIRE PURCHASE AND LEASING LIMITED,exact,100.0
INE0FFR,Lal Gebi Infra Private Limited,LAL GEBI INFRA PRIVATE LIMITED,exact,100.0
INE0FKV,Arliga Ecoworld Infrastructure Private Ltd (erstwhile RMZ Ecoworld Infrastructure Pvt Ltd),ARLIGA ECOWORLD INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0FMC,Continuum Trinethra Renewables Private Limited,CONTINUUM TRINETHRA RENEWABLES PRIVATE LIMITED,exact,100.0
INE0FRO,Steamhouse India Limited,STEAMHOUSE INDIA LIMITED,exact,100.0
INE0FSS,Legor Logistics Private Limited,LEGOR LOGISTICS PRIVATE LIMITED,exact,100.0
INE0FV2,Indospace Industrial Park Panruti Private Limited,INDOSPACE INDUSTRIAL PARK PANRUTI PRIVATE LIMITED,exact,100.0
INE0FV6,Ishanvi Industrial & Logistics Park Private Limited,ISHANVI INDUSTRIAL & LOGISTICS PARK PVT LTD,exact,100.0
INE0FWI,Sindhuja Microcredit Private Limited,SINDHUJA MICROCREDIT PRIVATE LIMITED,exact,100.0
INE0FX6,NMDC Data Centre Private Limited,NMDC DATA CENTRE PRIVATE LIMITED,exact,100.0
INE0G11,INDOSPACE LUHARI 3E PRIVATE LIMITED.,INDOSPACE LUHARI 3E PRIVATE LIMITED,exact,100.0
INE0G3G,Euroschool Foundation,EUROSCHOOL FOUNDATION,exact,100.0
INE0G4Q,Dugar Finance and Investments Limited,DUGAR FINANCE AND INVESTMENTS LIMITED,exact,100.0
INE0GCN,Adani Airport Holdings Limited,ADANI AIRPORT HOLDINGS LIMITED,exact,100.0
