isin_prefix,company_name,nsdl_issuer,match_method,score
INE0L1W,Rajapushpa Properties Private Limited,RAJAPUSHPA PROPERTIES PRIVATE LIMITED,exact,100.0
INE0L2B,Vikrant Forge Private Limited,VIKRANT FORGE PRIVATE LIMITED,exact,100.0
INE0L31,ANSR Global Corporation Private Limited,ANSR GLOBAL CORPORATION PRIVATE LIMITED,exact,100.0
INE0L6H,Palava Induslogic 4 Private Limited,PALAVA INDUSLOGIC 4 LIMITED,exact,100.0
INE0LA0,Athaang Infrastructure Private Limited,ATHAANG INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0LBY,Aakash Nirman Udyog Private Limited,AAKASH NIRMAN UDYOG PRIVATE LIMITED,exact,100.0
INE0LEM,Masaya Solar Energy Private Limited,MASAYA SOLAR ENERGY PRIVATE LIMITED,exact,100.0
INE0LEQ,Sarvagram Fincare Private Limited,SARVAGRAM FINCARE PRIVATE LIMITED,exact,100.0
INE0LFZ,GreenCell Surat Private Limited,GREENCELL SURAT PVT LTD,exact,100.0
INE0LGF,CGE Hybrid Energy Private Limited,CGE HYBRID ENERGY PRIVATE LIMITED,exact,100.0
INE0LHN,RAIPUR-VISAKHAPATNAM-CG-2 HIGHWAYS LIMITED,RAIPUR-VISAKHAPATNAM-CG-2 HIGHWAYS LIMITED,exact,100.0
INE0LI4,Serentica Renewables India 4 Private Limited,SERENTICA RENEWABLES INDIA 4 PRIVATE LIMITED,exact,100.0
INE0LIO,Movez EV Bus (One) Private Limited,MOVEZ EV BUS (ONE) PVT LTD,exact,100.0
INE0LLA,Evey Trans (MHS) Private Limited,EVEY TRANS (MHS) PVT LTD,exact,100.0
INE0LQ3,Ambe Agro Industries Private Limited,AMBE AGRO INDUSTRIES PRIVATE LIMITED,exact,100.0
INE0LQX,Serentica Renewables India Private Limited,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,exact,100.0
INE0LRC,Purelearn Eduinfra Bangalore Private Limited,PURELEARN EDUINFRA BANGALORE PRIVATE LIMITED,exact,100.0
INE0LRD,Amplus Helios Private Limited,AMPLUS HELIOS PRIVATE LIMITED,exact,100.0
INE0LRI,SAEL Industries Ltd,SAEL INDUSTRIES LIMITED,exact,100.0
INE0LRP,Cuib Eduinfra Bangalore Private Limited,CUIB EDUINFRA BANGALORE PRIVATE LIMITED,exact,100.0
INE0LW0,Purelearn Eduinfra Kanakapura Private Limited,PURELEARN EDUINFRA KANAKAPURA PRIVATE LIMITED,exact,100.0
INE0LXM,AMPIN Energy Green Four Private Limited,AMPIN ENERGY GREEN FOUR PRIVATE LIMITED,exact,100.0
INE0LXO,AMPIN Energy Green Six Private Limited (Formerly AMP Energy Green Six Private Limited),AMPIN ENERGY GREEN SIX PRIVATE LIMITED,exact,100.0
INE0LXP,AMPIN Energy Green Eight Private Limited,AMPIN ENERGY GREEN EIGHT PRIVATE LIMITED,exact,100.0
INE0LZ9,AMPIN ENERGY GREEN FIVE PRIVATE LIMITED,AMPIN ENERGY GREEN FIVE PRIVATE LIMITED,exact,100.0
INE0M23,Andhra Pradesh State Beverages Corporation Limited,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED,exact,100.0
INE0M4Y,Purelearn Eduinfra Bowenpally Private Limited,PURELEARN EDUINFRA BOWENPALLY PRIVATE LIMITED,exact,100.0
INE0M68,Purelearn Eduinfra Ramanagara SH Private Limited,PURELEARN EDUINFRA RAMANAGARA SH PRIVATE LIMITED,exact,100.0
INE0M7V,Snapmint Financial Services Private Limited,SNAPMINT FINANCIAL SERVICES PRIVATE LIMITED,exact,100.0
INE0M8D,Aditya Birla Digital Fashion Ventures Limited,ADITYA BIRLA DIGITAL FASHION VENTURES LIMITED,exact,100.0
INE0M8Z,HSK Logistics Assets (India) Private Limited,HSK LOGISTICS ASSETS (INDIA) PRIVATE LIMITED,exact,100.0
INE0MA8,Infraschool Services Gurgaon Private Limited,INFRASCHOOL SERVICES GURGAON PRIVATE LIMITED,exact,100.0
INE0MCO,Alpha Design Technologies Private Limited,ALPHA DESIGN TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0MEH,NewSpace Research and Technologies Private Limited,NEWSPACE RESEARCH & TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0MGY,THOTH MALL AND COMMERCIAL REAL ESTATE PVT LTD,THOTH MALL AND COMMERCIAL REAL ESTATE PRIVATE LIMITED,exact,100.0
INE0MHC,WhizDM Finance Private Limited,WHIZDM FINANCE PRIVATE LIMITED,exact,100.0
INE0MIZ,Anzen India Energy Yield Plus Trust,ANZEN INDIA ENERGY YIELD PLUS TRUST,exact,100.0
INE0MJS,Azure Power (Gujrat) Private Limited,AZURE POWER (GUJRAT) PRIVATE LIMITED,exact,100.0
INE0MPX,VEH Srishti Energy Private Limited,VEH SRISHTI ENERGY PRIVATE LIMITED,exact,100.0
INE0MT2,NJ Capital Private Limited,NJ CAPITAL PRIVATE LIMITED,exact,100.0
INE0MW8,Milecon IT Park 3B Private Limited,MILECON IT PARK 3B PRIVATE LIMITED,exact,100.0
INE0MYJ,Progfin Private Limited,PROGFIN PRIVATE LIMITED,exact,100.0
INE0MYY,AMPIN C&I Five Private Limited,AMPIN C&I FIVE PRIVATE LIMITED,exact,100.0
INE0MZC,Upgrid Electrilease Private Limited,UPGRID ELECTRILEASE PRIVATE LIMITED,exact,100.0
INE0MZS,NEUBERG DIAGNOSTICS PRIVATE LIMITED,NEUBERG DIAGNOSTICS PRIVATE LIMITED,exact,100.0
INE0N1Z,RAJGARH TRANSMISSION LIMITED,RAJGARH TRANSMISSION LIMITED,exact,100.0
INE0N3V,SAIMIRRA INNOPHARM PRIVATE LIMITED,SAIMIRRA INNOPHARM PRIVATE LIMITED,exact,100.0
INE0N5B,Maxlite AAC Blocks (India) Private Limited,MAXLITE AAC BLOCKS (INDIA) PVT LTD,exact,100.0
INE0N5S,Samunnati Finance Private Limited,SAMUNNATI FINANCE PRIVATE LIMITED,exact,100.0
INE0N78,Intellismart Infrastructure Private Limited,INTELLISMART INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0N88,Gadag Transmission Limited,GADAG TRANSMISSION LIMITED,exact,100.0
INE0NDH,Nexus Select Trust,NEXUS SELECT TRUST,exact,100.0
INE0NE7,Adani Transmission Step-One Limited,ADANI TRANSMISSION STEP-ONE LIMITED,exact,100.0
INE0NES,Keertana Finserv Limited,KEERTANA FINSERV LIMITED,exact,100.0
INE0NF8,Provident Meryta Private Limited,PROVIDENT MERYTA PRIVATE LIMITED,exact,100.0
INE0NF9,Provident Cedar Pvt Ltd,PROVIDENT CEDAR PRIVATE LIMITED,exact,100.0
INE0NFI,SolarCraft Power India 2 Private Limited,SOLARCRAFT POWER INDIA 2 PRIVATE LIMITED,exact,100.0
INE0NG0,Imperial Lifestyle Private Limited,IMPERIAL LIFESTYLE PRIVATE LIMITED,exact,100.0
INE0NG1,Solarcraft Power India 3 Private Limited,SOLARCRAFT POWER INDIA 3 PRIVATE LIMITED,exact,100.0
INE0NI1,J.C. Flowers Asset Reconstruction Private Limited,J.C. FLOWERS ASSET RECONSTRUCTION PRIVATE LIMITED,exact,100.0
INE0NJ4,Shriprop Structures Private Limited,SHRIPROP STRUCTURES PRIVATE LIMITED,exact,100.0
INE0NPQ,ASSETZ INDUSTRIAL PARKS PRIVATE LIMITED,ASSETZ INDUSTRIAL PARKS PRIVATE LIMITED,exact,100.0
INE0NPR,Brit Logistics Private Limited,BRIT LOGISTICS PRIVATE LIMITED,exact,100.0
INE0NR6,CUBE HIGHWAYS TRUST,CUBE HIGHWAYS TRUST,exact,100.0
INE0NR9,SolarCraft Power India 9 Private Limited,SOLARCRAFT POWER INDIA 9 PRIVATE LIMITED,exact,100.0
INE0NRN,Swelect RE Power Private Limited,SWELECT RE POWER PRIVATE LIMITED,exact,100.0
INE0NRS,NSL GREEN STEEL RECYCLING LIMITED,NSL GREEN STEEL RECYCLING LIMITED,exact,100.0
INE0NU0,Aryatech Platforms Private Limited,ARYATECH PLATFORMS PRIVATE LIMITED,exact,100.0
INE0NWC,GPS Renewables Private Limited,GPS RENEWABLES PRIVATE LIMITED,exact,100.0
INE0NWD,VEH Mitra Energy Private Limited,VEH MITRA ENERGY PRIVATE LIMITED,exact,100.0
INE0NZM,Genome Valley Pharma Parks and Incubators Private Limited,GENOME VALLEY PHARMA PARKS AND INCUBATORS PRIVATE LIMITED,exact,100.0
INE0O08,BAM DLR MUMBAI PRIVATE LIMITED,BAM DLR MUMBAI PRIVATE LIMITED,exact,100.0
INE0O18,Lyfius Pharma Private Limited,LYFIUS PHARMA PVT LTD,exact,100.0
INE0O2P,Leap Agri Logistics (Pipavav) Private Limited,LEAP AGRI LOGISTICS (PIPAVAV) PVT LTD,exact,100.0
INE0O2U,Provident Housing Limited,PROVIDENT HOUSING LIMITED,exact,100.0
INE0O6L,Bhartiya City Residences Private Limited,BHARTIYA CITY RESIDENCES PRIVATE LIMITED,exact,100.0
INE0O7U,Unigold Finance Limited,UNIGOLD FINANCE LIMITED,exact,100.0
INE0OB6,Deepak Mining Solutions Limited,DEEPAK MINING SOLUTIONS LIMITED,exact,100.0
INE0OC9,Adani New Industries Limited,ADANI NEW INDUSTRIES LIMITED,exact,100.0
INE0OFR,IKAT Exports Private Limited,IKAT EXPORTS PRIVATE LIMITED,exact,100.0
INE0OHX,XSIO Warehousing Private Limited,XSIO WAREHOUSING PRIVATE LIMITED,exact,100.0
INE0OI2,Mehgama-Hansdiha Highways Limited,MEHGAMA-HANSDIHA HIGHWAYS LIMITED,exact,100.0
INE0OI3,URGA-PATHALGAON HIGHWAYS LIMITED,URGA-PATHALGAON HIGHWAYS LIMITED,exact,100.0
INE0OIW,Maradgi S Andola-Baswantpur Highways Limited,MARADGI S ANDOLA-BASWANTPUR HIGHWAYS LIMITED,exact,100.0
INE0OIX,KARIMNAGAR-WARANGAL HIGHWAYS LIMITED,KARIMNAGAR-WARANGAL HIGHWAYS LIMITED,exact,100.0
INE0OJ8,Ascendas It Park (Pune) Private Limited,ASCENDAS IT PARK (PUNE) PRIVATE LIMITED,exact,100.0
INE0OJY,AMPIN Energy Green Seven Private Limited,AMPIN ENERGY GREEN SEVEN PRIVATE LIMITED,exact,100.0
INE0OK8,Casagrand Hyderwise Private Limited,CASAGRAND HYDERWISE PRIVATE LIMITED,exact,100.0
INE0OKC,Weisshorn Realty Private Limited (Erstwhile Picard Angst India Private Limited),WEISSHORN REALTY PRIVATE LIMITED,exact,100.0
INE0ONG,NTPC Green Energy Limited,NTPC GREEN ENERGY LIMITED,exact,100.0
INE0OOQ,True Credits Private Limited,TRUE CREDITS PRIVATE LIMITED,exact,100.0
INE0ORP,HV FARMS PRIVATE LIMITED,HV FARMS PRIVATE LIMITED,exact,100.0
INE0OTB,Talettutayi Solar Projects Nine Private Limited,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LTD,exact,100.0
INE0OZ7,SI Interpack Private Limited,SI INTERPACK PRIVATE LIMITED,exact,100.0
INE0OZZ,LEAP Agri Logistics (Ludhiana) Private Limited,LEAP AGRI LOGISTICS (LUDHIANA) PVT LTD,exact,100.0
INE0P0J,Greenlam Limited,GREENLAM LIMITED,exact,100.0
INE0P14,Vivriti Capital Limited,VIVRITI CAPITAL LIMITED,exact,100.0
INE0P1K,Pimpri Chinchwad Municipal Corporation,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,exact,100.0
INE0P2Z,Biodeal Pharmaceuticals Limited,BIODEAL PHARMACEUTICALS LIMITED,exact,100.0
INE0P3U,Acreage Builders Private Limited,ACREAGE BUILDERS PRIVATE LIMITED,exact,100.0
INE0P73,Kaabil Finance Private Limited,KAABIL FINANCE PRIVATE LIMITED,exact,100.0
INE0P76,Juniper Green Beam Private Limited,JUNIPER GREEN BEAM PRIVATE LIMITED,exact,100.0
INE0PAP,DUNDIGAL WASTE 2 ENERGY PRIVATE LIMITED,DUNDIGAL WASTE 2 ENERGY PRIVATE LIMITED,exact,100.0
INE0PF6,Shrivision Elevation Private Limited,SHRIVISION ELEVATION PRIVATE LIMITED,exact,100.0
INE0PGY,Kashi Tollway Private Limited,KASHI TOLLWAY PRIVATE LIMITED,exact,100.0
INE0PJR,IAV Utkarsh Limited,IAV UTKARSH LIMITED,exact,100.0
INE0PKB,KBP Mining Private Limited,KBP MINING PVT LTD,exact,100.0
INE0PM7,mPokket Financial Services Private Limited,MPOKKET FINANCIAL SERVICES PRIVATE LIMITED,exact,100.0
INE0PNI,ELDECO GREENS LIMITED,ELDECO GREENS LIMITED,exact,100.0
INE0PO5,Varishtha Property Developers Private Limited,VARISHTHA PROPERTY DEVELOPERS PRIVATE LIMITED,exact,100.0
INE0POA,Purva Sapphire Land Private Limited,PURVA SAPPHIRE LAND PRIVATE LIMITED,exact,100.0
INE0POL,Resonia Limited,RESONIA LIMITED,exact,100.0
INE0PPC,Juniper Green Cosmic Private Limited,JUNIPER GREEN COSMIC PRIVATE LIMITED,exact,100.0
INE0PPL,Juniper Green Gamma One Private Limited,JUNIPER GREEN GAMMA ONE PRIVATE LIMITED,exact,100.0
INE0PTI,GHAZIABAD WATER SOLUTIONS PRIVATE LIMITED,GHAZIABAD WATER SOLUTIONS PRIVATE LIMITED,exact,100.0
INE0PU6,Solarcraft Power India 21 Private Limited,SOLARCRAFT POWER INDIA 21 PRIVATE LIMITED,exact,100.0
INE0PXF,ILP 3 INDIA 14 PRIVATE LIMITED,ILP 3 INDIA 14 PRIVATE LIMITED,exact,100.0
INE0PXI,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-7 LIMITED,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-7 LIMITED,exact,100.0
INE0PXN,Winterfell Realty Private Limited,WINTERFELL REALTY PRIVATE LIMITED,exact,100.0
INE0PXQ,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-4 LIMITED,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-4 LIMITED,exact,100.0
INE0Q0R,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-1 LIMITED,BENGALURU-VIJAYAWADA EXPRESSWAY PACKAGE-1 LIMITED,exact,100.0
INE0Q62,VIRIDIS OFFICE PARK PRIVATE LIMITED,VIRIDIS OFFICE PARK PRIVATE LIMITED,exact,100.0
INE0Q7K,ADEPT RENEWABLE TECHNOLOGIES PRIVATE LIMITED,ADEPT RENEWABLE TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0Q7L,TRANSITION ENERGY SERVICES PRIVATE LIMITED,TRANSITION ENERGY SERVICES PRIVATE LIMITED,exact,100.0
INE0Q7Q,NDR InvIT Trust,NDR INVIT TRUST,exact,100.0
INE0Q9V,Superform Chemistries Limited,SUPERFORM CHEMISTRIES LIMITED,exact,100.0
INE0QAL,Emine Realty Private Limited,EMINE REALTY PRIVATE LIMITED,exact,100.0
INE0QBF,XL XERGI POWER PRIVATE LIMITED,XL XERGI POWER PRIVATE LIMITED,exact,100.0
INE0QCG,Sanmar Shipping Limited,SANMAR SHIPPING LIMITED,exact,100.0
INE0QCS,Khavda-Bhuj Transmission Limited,KHAVDA-BHUJ TRANSMISSION LIMITED,exact,100.0
INE0QDW,Danub Homes Private Limited,DANUB HOMES PRIVATE LIMITED,exact,100.0
INE0QFL,Swelect Taiyo Energy Private Limited,SWELECT TAIYO ENERGY PRIVATE LIMITED,exact,100.0
INE0QJL,Thaai Casting Limited,THAAI CASTING LIMITED,exact,100.0
INE0QM2,Harmony Organics Private Limited,HARMONY ORGANICS PRIVATE LIMITED,exact,100.0
INE0QPN,DAC Developers Private Limited,DAC DEVELOPERS PRIVATE LIMITED,exact,100.0
INE0QSR,Skilworth Technologies Private Limited,SKILWORTH TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0QST,MP Power Transmission Package-II Limited,MP POWER TRANSMISSION PACKAGE-II LIMITED,exact,100.0
INE0QVA,Lumbini Education Private Limited,LUMBINI EDUCATION PRIVATE LIMITED,exact,100.0
INE0QX2,Epsilon Advanced Materials Private Limited,EPSILON ADVANCED MATERIALS PRIVATE LIMITED,exact,100.0
INE0QYH,FP SAMRUDDI PRIVATE LIMITED,FP SAMRUDDI PRIVATE LIMITED,exact,100.0
INE0QZO,Epsilon Graphite Private Limited,EPSILON GRAPHITE PRIVATE LIMITED,exact,100.0
INE0R25,Moneygear Fintech Private Limited,MONEYGEAR FINTECH PRIVATE LIMITED,exact,100.0
INE0R7F,EVEY TRANS (MUM) PRIVATE LIMITED,EVEY TRANS (MUM) PVT LTD,exact,100.0
INE0R8O,Sustainable Energy Infra Trust,SUSTAINABLE ENERGY INFRA TRUST,exact,100.0
INE0R99,Cropnosys India Pvt Ltd,CROPNOSYS (INDIA) PRIVATE LIMITED,exact,100.0
INE0RC2,One Boat Club Constructions and Real Estate Private Limited,ONE BOAT CLUB CONSTRUCTIONS AND REAL ESTATE PRIVATE LIMITED,exact,100.0
INE0RDK,Futureworld Greenhomes Private Limited,FUTUREWORLD GREENHOMES PRIVATE LIMITED,exact,100.0
INE0RDL,AMPIN ENERGY GREEN THIRTEEN PRIVATE LIMITED (Formerly AMP Energy Green Thirteen Private Limited),AMPIN ENERGY GREEN THIRTEEN PRIVATE LIMITED,exact,100.0
INE0REV,Keyorbit Realtors Pvt. Ltd,KEYORBIT REALTORS PRIVATE LIMITED,exact,100.0
INE0RG5,Montecarlo Nagpur Smart Metering Private Limited,MONTECARLO NAGPUR SMART METERING PRIVATE LIMITED,exact,100.0
INE0RK7,Ola Cell Technologies Private Limited,OLA CELL TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0RL7,Digital Edge DC (India) Private Limited,DIGITAL EDGE DC (INDIA) PRIVATE LIMITED,exact,100.0
INE0RSE,Epsilon C2GR Private Limited,EPSILON C2GR PRIVATE LIMITED,exact,100.0
INE0RSP,NAVADHAN CAPITAL PRIVATE LIMITED,NAVADHAN CAPITAL PRIVATE LIMITED,exact,100.0
INE0RU4,GMR Visakhapatnam International Airport Limited,GMR VISAKHAPATNAM INTERNATIONAL AIRPORT LIMITED,exact,100.0
INE0RUH,Vishwa Samudra Engineering Private Limited,VISHWA SAMUDRA ENGINEERING PRIVATE LIMITED,exact,100.0
INE0RV7,Adani Renewable Energy Forty One Limited,ADANI RENEWABLE ENERGY FORTY ONE LIMITED,exact,100.0
INE0RYN,TRANSITION CLEANTECH SERVICES PRIVATE LIMITED,TRANSITION CLEANTECH SERVICES PRIVATE LIMITED,exact,100.0
INE0S3L,MS Fincap Private Limited,MS FINCAP PRIVATE LIMITED,exact,100.0
INE0S56,Kokhraj Handia Expressway Private Limited,KOKHRAJ HANDIA EXPRESSWAY PRIVATE LIMITED,exact,100.0
INE0S76,UNICO HOUSING FINANCE PRIVATE LIMITED,UNICO HOUSING FINANCE PRIVATE LIMITED,exact,100.0
INE0S86,Altena Management Private Limited,ALTENA MANAGEMENT PRIVATE LIMITED,exact,100.0
INE0S9J,ABC Cleantech Private Limited,ABC CLEANTECH PRIVATE LIMITED,exact,100.0
INE0SEE,Swelect Clean Energy Private Limited,SWELECT CLEAN ENERGY PRIVATE LIMITED,exact,100.0
INE0SFN,Dakshin Gujarat Smart Metering Private Limited,DAKSHIN GUJARAT SMART METERING PRIVATE LIMITED,exact,100.0
INE0SIG,Khavda II-A Transmission Limited,KHAVDA II-A TRANSMISSION LIMITED,exact,100.0
INE0SQ9,Oyster Green Hybrid One Private Limited,OYSTER GREEN HYBRID ONE PRIVATE LIMITED,exact,100.0
INE0SRE,Purva Oak Private Limited,PURVA OAK PRIVATE LIMITED,exact,100.0
INE0SU5,Serentica Renewables India 9 Private Limited,SERENTICA RENEWABLES INDIA 9 PRIVATE LIMITED,exact,100.0
INE0SUF,CIEL HR Services Limited,CIEL HR SERVICES LIMITED,exact,100.0
INE0SZ9,Sahyadri Farmers Producer Company Limited,SAHYADRI FARMERS PRODUCER COMPANY LIMITED,exact,100.0
INE0T3T,Paschimanchal Infrastructure Private Limited,PASCHIMANCHAL INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0T3Y,Ramkrishna Forgings Limited,RAMKRISHNA FORGINGS LTD,exact,100.0
INE0T6U,Wildlotus Fashions Private Limited,WILDLOTUS FASHIONS PRIVATE LIMITED,exact,100.0
INE0T79,Rajkot Municipal Corporation,RAJKOT MUNICIPAL CORPORATION,exact,100.0
INE0T7L,Assam Smart Metering Private Limited,ASSAM SMART METERING PRIVATE LIMITED,exact,100.0
INE0T7Z,Madhyanchal One Infrastructure Private Limited,MADHYANCHAL ONE INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0TBH,AMPIN Energy C&I Twenty One Private Limited,AMPIN ENERGY C&I TWENTY ONE PRIVATE LIMITED,exact,100.0
INE0TBY,AMPIN Energy C&I Seventeen Private Limited,AMPIN ENERGY C&I SEVENTEEN PRIVATE LIMITED,exact,100.0
INE0TCC,AMPIN Energy C&I Twenty Two Private Limited,AMPIN ENERGY C&I TWENTY TWO PRIVATE LIMITED,exact,100.0
INE0TDU,EPIC TRANSNET INFRASTRUCTURE PRIVATE LIMITED (Formerly WATRAK INFRASTRUCTURE PRIVATE LIMITED),EPIC TRANSNET INFRASTRUCTURE PRIVATE LIMITED,exact,100.0
INE0TDV,Delhi Hapur Meerut Expressway Private Limited,DELHI HAPUR MEERUT EXPRESSWAY PRIVATE LIMITED,exact,100.0
INE0THG,AMPIN Energy C&I Twenty Private Limited,AMPIN ENERGY C&I TWENTY PRIVATE LIMITED,exact,100.0
INE0TLC,The Andhra Pradesh Mineral Development Corporation Ltd.,THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED,exact,100.0
INE0TO8,Emerald Haven Life Spaces 2 Private Limited,EMERALD HAVEN LIFE SPACES 2 PRIVATE LIMITED,exact,100.0
INE0TQ2,AVAADA GJSUSTAINABLE PRIVATE LIMITED,AVAADA GJSUSTAINABLE PRIVATE LIMITED,exact,100.0
INE0TQI,360 One Alternates Asset Management Limited,360 ONE ALTERNATES ASSET MANAGEMENT LIMITED,exact,100.0
INE0TR4,EPIC CONCESIONES 2 PRIVATE LIMITED,EPIC CONCESIONES 2 PRIVATE LIMITED,exact,100.0
INE0TT4,Kimbal Private Limited,KIMBAL PRIVATE LIMITED,exact,100.0
INE0TUZ,ACME SIKAR SOLAR PRIVATE LIMITED,ACME SIKAR SOLAR PRIVATE LIMITED,exact,100.0
INE0TV2,Emerald Haven Life Spaces 3 Private Limited,EMERALD HAVEN LIFE SPACES 3 PRIVATE LIMITED,exact,100.0
INE0TW0,LionLender Finance Private Limited,LIONLENDER FINANCE PRIVATE LIMITED,exact,100.0
INE0TZD,AMPLE PARKS PROJECT 1 PRIVATE LIMITED,AMPLE PARKS PROJECT 1 PRIVATE LIMITED,exact,100.0
INE0U29,O2 Renewable Energy XVI Private Limited,O2 RENEWABLE ENERGY XVI PRIVATE LIMITED,exact,100.0
INE0U48,Grainfuel Distilleries Private Limited,GRAINFUEL DISTILLERIES PRIVATE LIMITED,exact,100.0
INE0U4A,AMPIN Energy Utility Private Limited,AMPIN ENERGY UTILITY PRIVATE LIMITED,exact,100.0
INE0U8Y,O2 Renewable Energy XI Private Limited,O2 RENEWABLE ENERGY XI PRIVATE LIMITED,exact,100.0
INE0U9T,CURATEQ BIOLOGICS PRIVATE LIMITED,CURATEQ BIOLOGICS PRIVATE LIMITED,exact,100.0
INE0U9Z,O2 Renewable Energy XVII Private Limited,O2 RENEWABLE ENERGY XVII PRIVATE LIMITED,exact,100.0
INE0UAP,AUROACTIVE PHARMA PRIVATE LIMITED,AUROACTIVE PHARMA PRIVATE LIMITED,exact,100.0
INE0UEE,ABC RENEWABLE ENERGY (RJ-02) PRIVATE LIMITED,ABC RENEWABLE ENERGY (RJ-02) PRIVATE LIMITED,exact,100.0
INE0UKL,JGRJ SOLAR PRIVATE LIMITED,JGRJ SOLAR PRIVATE LIMITED,exact,100.0
INE0UNR,Ola Electric Technologies Private Limited,OLA ELECTRIC TECHNOLOGIES PRIVATE LIMITED,exact,100.0
INE0UO1,APG Industrial Conglomerate Private Limited,APG INDUSTRIAL CONGLOMERATE PRIVATE LIMITED,exact,100.0
INE0UP2,THERANYM BIOLOGICS PRIVATE LIMITED,THERANYM BIOLOGICS PRIVATE LIMITED,exact,100.0
INE0UPE,EUGIA STERILES PRIVATE LIMITED,EUGIA STERILES PRIVATE LIMITED,exact,100.0
INE0UU9,Solarcraft Power India 23 Private Limited,SOLARCRAFT POWER INDIA 23 PRIVATE LIMITED,exact,100.0
INE0UUC,Solarcraft Power India 25 Private Limited,SOLARCRAFT POWER INDIA 25 PRIVATE LIMITED,exact,100.0
INE0V63,AMPIN Energy C&I Twenty Three Private Limited,AMPIN ENERGY C&I TWENTY THREE PRIVATE LIMITED,exact,100.0
INE0VEQ,Hexa Climate Solutions Private Limited,HEXA CLIMATE SOLUTIONS PRIVATE LIMITED,exact,100.0
INE0VI9,Shreetech Data Limited,SHREETECH DATA LIMITED,exact,100.0
INE0W2G,Sagility Limited,SAGILITY LIMITED,exact,100.0
INE0W2J,IndianOil Adani Gas Private Limited,INDIANOIL - ADANI GAS PRIVATE LIMITED,exact,100.0
INE0WE3,VYOMAN INFRAPROJECTS PRIVATE LIMITED,VYOMAN INFRAPROJECTS PRIVATE LIMITED,exact,100.0
INE0WKC,OYSTER GREEN HYBRID TWO PRIVATE LIMITED,OYSTER GREEN HYBRID TWO PRIVATE LIMITED,exact,100.0
INE0WOV,SM Square Credit Services Private Limited,SM SQUARE CREDIT SERVICES PRIVATE LIMITED,exact,100.0
INE0WVX,St.Michael'S Educational Services Private Limited,ST. MICHAEL'S EDUCATIONAL SERVICES PRIVATE LIMITED,exact,100.0
INE0WYW,AMPIN Energy Green Ten Private Limited (Formerly AMP Energy Green Ten Private Limited),AMPIN ENERGY GREEN TEN PRIVATE LIMITED,exact,100.0
INE0X0T,MGM Biofuels Private Limited,MGM BIOFUELS PRIVATE LIMITED,exact,100.0
INE0XAA,3B Advanced Composites Private Limited,3B ADVANCED COMPOSITES PRIVATE LIMITED,exact,100.0
INE0XOK,Juniper Green Kite Private Limited,JUNIPER GREEN KITE PRIVATE LIMITED,exact,100.0
INE0XUB,Pune Kharadi Tower Private Limited,PUNE KHARADI TOWER PRIVATE LIMITED,exact,100.0
INE0XWU,Bagur Logistics Park Private Limited,BAGUR LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE0YL8,SYNTHIMED LABS PRIVATE LIMITED,SYNTHIMED LABS PRIVATE LIMITED,exact,100.0
INE0YOO,Panvel Logistics And Warehousing Solutions Private Limited,PANVEL LOGISTICS AND WAREHOUSING SOLUTIONS PRIVATE LIMITED,exact,100.0
INE0YRB,Adani Transmission Step-Two Limited,ADANI TRANSMISSION STEP-TWO LIMITED,exact,100.0
INE0YTY,Regreen-Excel EPC India Ltd,REGREEN-EXCEL EPC INDIA LIMITED,exact,100.0
INE0Z48,Cyqure India Private Limited,CYQURE INDIA PRIVATE LIMITED,exact,100.0
INE0Z8Z,Capital Infra Trust,CAPITAL INFRA TRUST,exact,100.0
INE0ZWG,Nykaa E- Retail Limited,NYKAA E- RETAIL LIMITED,exact,100.0
INE101A,Mahindra & Mahindra Limited,MAHINDRA AND MAHINDRA LIMITED,exact,100.0
INE101P,Crystal Crop Protection Limited,CRYSTAL CROP PROTECTION LIMITED,exact,100.0
INE101Q,Muthoot MCred Limited (erstwhile Muthoottu Mini Financiers Limited),MUTHOOT MCRED LIMITED,exact,100.0
INE102N,IRB Ahmedabad Vadodara Super Express Tollway Private Limited,IRB AHMEDABAD VADODARA SUPER EXPRESS TOLLWAY PRIVATE LIMITED,exact,100.0
